Date,Open,High,Low,Close,Adj Close,Volume
2017-10-03,735.0,740.0,701.7000122070312,707.5499877929688,699.842041015625,35367877
2017-10-04,710.1500244140625,710.75,699.0,703.6500244140625,695.9845581054688,3613280
2017-10-05,704.5499877929688,704.5499877929688,686.0999755859375,694.5499877929688,686.9835815429688,2680742
2017-10-06,693.9000244140625,702.0,689.0,696.75,689.15966796875,1416485
2017-10-09,694.0999755859375,702.5,694.0999755859375,698.6500244140625,691.0390014648438,951473
2017-10-10,698.3499755859375,701.2000122070312,695.5499877929688,700.0,692.3743286132812,555002
2017-10-11,700.0,703.0,686.0,689.9000244140625,682.3843383789062,1077409
2017-10-12,691.0999755859375,694.0,685.0,687.7000122070312,680.208251953125,439314
2017-10-13,688.9500122070312,695.0499877929688,680.0,689.7000122070312,682.1865234375,1344510
2017-10-16,686.0,689.4500122070312,669.0,670.0999755859375,662.7999877929688,971834
2017-10-17,670.5,674.0,669.0,673.0499877929688,665.7178344726562,664335
2017-10-18,671.0,672.8499755859375,664.1500244140625,668.4000244140625,661.1185302734375,415712
2017-10-19,666.0999755859375,678.25,666.0999755859375,675.0999755859375,667.7454833984375,93358
2017-10-23,670.0,673.7999877929688,665.0,665.7999877929688,658.546875,292330
2017-10-24,663.7999877929688,671.4500122070312,663.0,665.8499755859375,658.5962524414062,350373
2017-10-25,667.0,673.4500122070312,658.0999755859375,669.9000244140625,662.6021728515625,583868
2017-10-26,669.9000244140625,669.9000244140625,660.5,666.8499755859375,659.5853881835938,242175
2017-10-27,663.2000122070312,666.0499877929688,659.0,662.2000122070312,654.9860229492188,396395
2017-10-30,665.0,665.0,649.9000244140625,655.0,647.864501953125,1164020
2017-10-31,655.7999877929688,669.0,655.7999877929688,662.0999755859375,654.8871459960938,1402840
2017-11-01,664.0,664.8499755859375,642.25,647.0499877929688,640.0010986328125,859011
2017-11-02,647.0499877929688,653.5999755859375,641.2000122070312,642.75,635.7478637695312,574130
2017-11-03,643.0499877929688,653.5,641.0999755859375,642.25,635.25341796875,672547
2017-11-06,642.6500244140625,659.9000244140625,642.6500244140625,656.75,649.5953979492188,483071
2017-11-07,659.0,659.0,639.5499877929688,642.3499755859375,635.352294921875,763293
2017-11-08,649.0,649.0,629.0,631.5999755859375,624.7194213867188,843603
2017-11-09,633.0,670.4000244140625,633.0,657.9500122070312,650.7823486328125,356798
2017-11-10,655.0999755859375,679.2000122070312,655.0999755859375,676.5499877929688,669.1796875,784443
2017-11-13,665.0,680.7999877929688,663.0,665.0,657.755615234375,192279
2017-11-14,655.2000122070312,667.75,654.0,660.0,652.8099975585938,350594
2017-11-15,650.0999755859375,660.0499877929688,644.4000244140625,649.3499755859375,642.2760009765625,269314
2017-11-16,648.5999755859375,659.2000122070312,642.7999877929688,649.9000244140625,642.820068359375,261879
2017-11-17,653.0,663.7000122070312,645.0999755859375,659.5499877929688,652.3649291992188,3200674
2017-11-20,657.2999877929688,665.0,656.5,661.4500122070312,654.2442626953125,712433
2017-11-21,660.0,696.4000244140625,660.0,687.4500122070312,679.9609375,2077453
2017-11-22,689.0,698.9500122070312,681.1500244140625,693.1500244140625,685.5989379882812,669175
2017-11-23,689.0,689.0,664.0,666.2999877929688,659.0414428710938,827451
2017-11-24,668.0,670.4500122070312,655.0,655.7000122070312,648.5568237304688,599114
2017-11-27,655.5499877929688,662.7000122070312,651.8499755859375,653.7000122070312,646.5786743164062,239417
2017-11-28,653.0,666.9500122070312,652.0,653.4500122070312,646.3314208984375,269211
