Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,717.5947875976562,0
2014-07-02 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,717.5947875976562,0
2014-07-03 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,717.5947875976562,0
2014-07-04 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-07 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-08 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-09 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-10 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-11 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-14 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-15 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-16 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-17 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-18 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-21 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-22 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-23 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-24 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-25 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-28 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-30 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-07-31 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-01 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-04 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-05 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-06 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-07 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-08 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-11 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-12 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-13 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-14 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-18 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-19 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-20 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-21 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-22 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-25 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-26 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-27 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-08-28 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-01 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-02 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-03 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-04 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-05 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-08 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-09 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-10 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-11 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-12 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-15 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-16 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-17 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-18 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-19 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-22 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-23 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-24 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-25 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-26 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-29 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-09-30 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-01 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-07 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-08 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-09 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-10 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-13 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-14 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-15 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-16 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-17 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-20 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-21 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-22 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-27 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-28 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-29 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
2014-10-30 00:00:00+05:30,818.2000122070312,818.2000122070312,818.2000122070312,818.2000122070312,730.0870361328125,0
